Model,Metric,N,Mean,SD,Median,Minimum,Maximum
Clinical,BS_1yr,50,0.09363777633464668,0.015435286762503962,0.09319090056070131,0.056778928176615055,0.12033385814274479
Clinical,BS_3yr,50,0.13441360766429608,0.023424478376049048,0.1306167220423619,0.08916594390209849,0.18776951932506736
Clinical,BS_5yr,50,0.15735342876429667,0.031901095048183566,0.155786488602362,0.10521935158082939,0.2608909194341512
Clinical,IBS_1to5yr,50,0.13100969880732857,0.020893278410968573,0.12555089471545658,0.10164713886183308,0.18030174366551138
RNA,BS_1yr,50,0.12606641869174054,0.016298784978421972,0.12487354682261957,0.10063817050269924,0.16947816504116217
RNA,BS_3yr,50,0.17383994906077838,0.01585144213680686,0.1718910734016939,0.14475959544626743,0.2178431337275858
RNA,BS_5yr,50,0.19079876541944685,0.01888729628421844,0.19195268970799645,0.14788823265487094,0.22973516873512306
RNA,IBS_1to5yr,50,0.16953632748608577,0.009697579047942951,0.16970626575561043,0.1479875131742714,0.19394266180764475
Multimodal,BS_1yr,50,0.10455548724753844,0.015648509180739366,0.10460991324663449,0.0706445183015253,0.14226900262923423
Multimodal,BS_3yr,50,0.14330176968616803,0.018736944104198603,0.14150670798372839,0.1094499488522757,0.1939413267349542
Multimodal,BS_5yr,50,0.1647353921530773,0.02650031723396614,0.16508448433620398,0.11723026798048844,0.2566829617443566
Multimodal,IBS_1to5yr,50,0.13993899979307622,0.014670841141708234,0.1379089829649145,0.1103234197611201,0.17459011902750296
