Model,Repeat,Median Risk Cutoff,High Risk N,Low Risk N,High Risk Events,Low Risk Events,Logrank chi-square,Logrank p-value
Clinical,1,0.6952848215745676,265,264,124,35,73.41551271626159,1.0503731835619139e-17
Clinical,2,0.9267640897479659,266,263,125,34,72.61460696224695,1.5760821241936128e-17
Clinical,3,0.8113954288548453,265,264,129,30,88.90145571113277,4.14977917573304e-21
Clinical,4,0.8825690467302771,265,264,125,34,80.26619342268654,3.2721982039574413e-19
Clinical,5,0.8900844159520535,265,264,121,38,66.32502188542749,3.823737566218563e-16
Clinical,6,0.6755441347899733,265,264,126,33,76.15272852753293,2.6255216670456434e-18
Clinical,7,0.8227576181629919,265,264,125,34,81.2617556086268,1.9771598117401742e-19
Clinical,8,0.8298653135765319,265,264,123,36,70.31227004341207,5.062184851489754e-17
Clinical,9,0.6641785707817196,265,264,121,38,73.85884929550478,8.3907401573502e-18
Clinical,10,0.6359974026048294,265,264,125,34,79.31296303148868,5.301074474165793e-19
RNA,1,-0.09321995111708885,265,264,122,37,67.0952829301617,2.586966527354893e-16
RNA,2,-0.06831224175712369,265,264,120,39,66.05453423666263,4.386176680968466e-16
RNA,3,-0.10337403465038852,265,264,121,38,62.03723910818007,3.370232896371632e-15
RNA,4,-0.06840356475782063,265,264,124,35,72.84909201307126,1.3995197522557047e-17
RNA,5,-0.04890509270733243,265,264,121,38,64.75611847434934,8.476599907700323e-16
RNA,6,-0.0947649142262666,265,264,122,37,65.88046717909704,4.791164704004185e-16
RNA,7,-0.04475523338584287,265,264,118,41,60.3871593397493,7.79196171824243e-15
RNA,8,-0.025462146568966466,265,264,120,39,57.450831717942,3.4653462783940765e-14
RNA,9,-0.11161056399238022,265,264,121,38,62.62396600395247,2.5019037855487107e-15
RNA,10,-0.048155099612217186,265,264,123,36,70.3540568841426,4.9560824379593516e-17
Multimodal,1,-0.22764206889362992,265,264,125,34,84.64290672340327,3.5742390960528837e-20
Multimodal,2,-0.2054249258338236,265,264,131,28,107.46402877099479,3.522409279556948e-25
Multimodal,3,-0.21248004645335508,265,264,130,29,97.33071324123691,5.86632893020867e-23
Multimodal,4,-0.2374253092535637,265,264,131,28,102.45067330101796,4.4224337196595825e-24
Multimodal,5,-0.2513520937365995,265,264,132,27,108.27000415134985,2.345474664918656e-25
Multimodal,6,-0.24140111246048407,265,264,134,25,106.18999117753533,6.699416369200924e-25
Multimodal,7,-0.17917525241166887,265,264,126,33,86.02795306196937,1.7741006087578935e-20
Multimodal,8,-0.12452937264234942,265,264,131,28,105.79420871615564,8.180432396166078e-25
Multimodal,9,-0.1724371881819532,265,264,130,29,92.77641689738012,5.854868223194735e-22
Multimodal,10,-0.15572832842738094,265,264,127,32,81.9971735881118,1.3628143057671264e-19
