Model,Repeat,Horizon,Horizon_days,Bin,N,Mean_predicted_survival,Observed_KM_survival,Calibration_error,Absolute_calibration_error
Clinical,1,1yr,365.0,0,106,0.49600654388449117,0.47692889103538366,0.019077652849107507,0.019077652849107507
Clinical,1,1yr,365.0,1,106,0.8474449059672873,0.8563976659469019,-0.008952759979614644,0.008952759979614644
Clinical,1,1yr,365.0,2,106,0.9326710281496903,0.9400140070302733,-0.007342978880582995,0.007342978880582995
Clinical,1,1yr,365.0,3,106,0.96238254141319,0.979254914738786,-0.01687237332559599,0.01687237332559599
Clinical,1,1yr,365.0,4,105,0.9724365089928564,0.9690282529397102,0.003408256053146208,0.003408256053146208
Clinical,2,1yr,365.0,0,107,0.49714745880052047,0.48611565441383864,0.011031804386681832,0.011031804386681832
Clinical,2,1yr,365.0,1,105,0.848357173955406,0.8740113193956099,-0.025654145440203946,0.025654145440203946
Clinical,2,1yr,365.0,2,105,0.9326006780865702,0.9286103760591012,0.003990302027468973,0.003990302027468973
Clinical,2,1yr,365.0,3,106,0.9628091261659507,0.9692377686784962,-0.0064286425125454905,0.0064286425125454905
Clinical,2,1yr,365.0,4,106,0.9732363493149775,0.9688324896562883,0.004403859658689169,0.004403859658689169
Clinical,3,1yr,365.0,0,106,0.4910239920327813,0.48090826690325444,0.010115725129526854,0.010115725129526854
Clinical,3,1yr,365.0,1,106,0.8514407858581519,0.868173821258218,-0.0167330354000661,0.0167330354000661
Clinical,3,1yr,365.0,2,105,0.9336225799986955,0.9269171835808081,0.006705396417887366,0.006705396417887366
Clinical,3,1yr,365.0,3,107,0.9612878522974754,0.969543693499784,-0.0082558412023086,0.0082558412023086
Clinical,3,1yr,365.0,4,105,0.9736757060237944,0.979162096951086,-0.00548639092729164,0.00548639092729164
Clinical,4,1yr,365.0,0,106,0.4959108036576733,0.48090826690325444,0.015002536754418871,0.015002536754418871
Clinical,4,1yr,365.0,1,106,0.8484803597186881,0.8542356196201906,-0.005755259901502496,0.005755259901502496
Clinical,4,1yr,365.0,2,105,0.9317125256443533,0.938409881847475,-0.006697356203121729,0.006697356203121729
Clinical,4,1yr,365.0,3,106,0.9617296424388426,0.9794527839880762,-0.0177231415492336,0.0177231415492336
Clinical,4,1yr,365.0,4,106,0.9728949674630628,0.9692408057479881,0.0036541617150747108,0.0036541617150747108
Clinical,5,1yr,365.0,0,106,0.49560663910124386,0.48090826690325444,0.014698372197989418,0.014698372197989418
Clinical,5,1yr,365.0,1,106,0.8479524409302726,0.8553909401768225,-0.0074384992465499344,0.0074384992465499344
Clinical,5,1yr,365.0,2,105,0.9314767033177561,0.9299832358778118,0.0014934674399442738,0.0014934674399442738
