Model,Horizon,Bin,Mean_Predicted,Mean_Observed,SD_Observed,Mean_N
Clinical,1yr,0,0.4933415685817543,0.4801008856487803,0.0028551084652240744,106.1
Clinical,1yr,1,0.8491979497282296,0.8588007946488535,0.010616335088672987,106.0
Clinical,1yr,2,0.9325698486548826,0.9327588563838034,0.009751202201368317,105.2
Clinical,1yr,3,0.9622503999461038,0.9792662675694468,0.010914544595876971,106.0
Clinical,1yr,4,0.9732220635126053,0.9722213294815016,0.005039082244823444,105.7
Clinical,3yr,0,0.2575553358893902,0.2665421391994019,0.006624193826775654,106.1
Clinical,3yr,1,0.7085583089578232,0.7391368385313083,0.01997226200403656,106.0
Clinical,3yr,2,0.8625117565635376,0.8387791542405495,0.019946436113012098,105.0
Clinical,3yr,3,0.9210709961806403,0.9304228601159759,0.0243223219204673,106.4
Clinical,3yr,4,0.9445260771522692,0.9241818809932871,0.017324713202777682,105.5
Clinical,5yr,0,0.1491444157839537,0.13778640560508126,0.00544665599491401,106.1
Clinical,5yr,1,0.5932261345446053,0.6339325844903041,0.015280809770540731,106.0
Clinical,5yr,2,0.799654136965384,0.7853268649698919,0.018795029800174553,105.1
Clinical,5yr,3,0.8827739453460769,0.8698035096675463,0.027693273175129103,106.4
Clinical,5yr,4,0.9164158860941971,0.8838460759424807,0.016555988357807257,105.4
Multimodal,1yr,0,0.5662727391019143,0.5323591442815601,0.018746866921437885,106.0
Multimodal,1yr,1,0.8409214947053429,0.838143867485579,0.02503100716535608,106.0
Multimodal,1yr,2,0.8999754058262599,0.9079452521125291,0.02340431629919375,105.0
Multimodal,1yr,3,0.9291186542699827,0.9580079416841357,0.011321504804282775,106.0
Multimodal,1yr,4,0.9544048533299699,0.9869123570962441,0.006836819879232052,106.0
Multimodal,3yr,0,0.3464336396058417,0.32956123944956506,0.021707886710679143,106.0
Multimodal,3yr,1,0.703278627871783,0.6737076354613872,0.03278444490905708,106.0
Multimodal,3yr,2,0.807028557192061,0.8447426169989406,0.017814795161298667,105.0
Multimodal,3yr,3,0.8607588951990618,0.9222197189451556,0.01899132580800674,106.0
Multimodal,3yr,4,0.9087591485992018,0.9266205471330036,0.013566761685339974,106.0
Multimodal,5yr,0,0.21767209524792977,0.18390117159374675,0.02172353740229167,106.0
Multimodal,5yr,1,0.5819238134539293,0.5750068492224032,0.044397788223864816,106.0
Multimodal,5yr,2,0.7184661887798003,0.7613037638628793,0.043713101914594266,105.0
Multimodal,5yr,3,0.7936263000138302,0.8717147027090046,0.02945534163314125,106.0
Multimodal,5yr,4,0.8616410258972506,0.9002477547698564,0.023080676244541538,106.0
RNA,1yr,0,0.6552895890662365,0.7005162423666862,0.01894218974831498,106.0
RNA,1yr,1,0.816919872445415,0.7621131829596349,0.031000375760624786,106.0
RNA,1yr,2,0.8762110616021239,0.8625096222618318,0.022868623215387174,105.0
RNA,1yr,3,0.9126344346997417,0.9164646898204187,0.021786236217284337,106.0
RNA,1yr,4,0.9475781951548747,0.9778729237760361,0.014792349287283065,106.0
RNA,3yr,0,0.4592854985629115,0.4795706777951797,0.023110585970192596,106.0
RNA,3yr,1,0.6794014938936581,0.6380053534132489,0.04244302371623352,106.0
RNA,3yr,2,0.7769384269207013,0.792729387273655,0.03525406699750083,105.0
RNA,3yr,3,0.8396016936850008,0.8556119506939315,0.03501444071757674,106.0
RNA,3yr,4,0.9020547332729821,0.9229275044386911,0.033016605920358426,106.0
RNA,5yr,0,0.3213519061729353,0.3266567062896415,0.03623978743433457,106.0
RNA,5yr,1,0.5612909144115015,0.49452323150514144,0.05689428015378011,106.0
RNA,5yr,2,0.6862443163311249,0.7217262954468396,0.04664226579430499,105.0
RNA,5yr,3,0.7699344254555369,0.8401030968064374,0.04287468606857149,106.0
RNA,5yr,4,0.8560655246833443,0.8879967279267614,0.034317049654862826,106.0
