gene_id,Selection_Frequency,gene_name,gene_type
ENSG00000125255.7,5,SLC10A2,protein_coding
ENSG00000147003.7,5,CLTRN,protein_coding
ENSG00000163735.7,5,CXCL5,protein_coding
ENSG00000173376.14,5,NDNF,protein_coding
ENSG00000174358.16,5,SLC6A19,protein_coding
ENSG00000006747.15,4,SCIN,protein_coding
ENSG00000077274.9,4,CAPN6,protein_coding
ENSG00000087250.9,4,MT3,protein_coding
ENSG00000131482.10,4,G6PC,protein_coding
ENSG00000163581.14,4,SLC2A2,protein_coding
ENSG00000164434.12,4,FABP7,protein_coding
ENSG00000185686.18,4,PRAME,protein_coding
ENSG00000012223.13,3,LTF,protein_coding
ENSG00000112246.10,3,SIM1,protein_coding
ENSG00000125144.14,3,MT1G,protein_coding
ENSG00000131400.8,3,NAPSA,protein_coding
ENSG00000133477.17,3,FAM83F,protein_coding
ENSG00000149294.17,3,NCAM1,protein_coding
ENSG00000174564.13,3,IL20RB,protein_coding
ENSG00000178776.5,3,C5orf46,protein_coding
ENSG00000257335.8,3,MGAM,protein_coding
ENSG00000004939.15,2,SLC4A1,protein_coding
ENSG00000019505.8,2,SYT13,protein_coding
ENSG00000050628.20,2,PTGER3,protein_coding
ENSG00000087494.16,2,PTHLH,protein_coding
ENSG00000101210.13,2,EEF1A2,protein_coding
ENSG00000102854.16,2,MSLN,protein_coding
ENSG00000108821.14,2,COL1A1,protein_coding
ENSG00000113249.13,2,HAVCR1,protein_coding
ENSG00000115009.13,2,CCL20,protein_coding
ENSG00000117472.10,2,TSPAN1,protein_coding
ENSG00000118514.14,2,ALDH8A1,protein_coding
ENSG00000119125.17,2,GDA,protein_coding
ENSG00000119630.14,2,PGF,protein_coding
ENSG00000124564.17,2,SLC17A3,protein_coding
ENSG00000131094.4,2,C1QL1,protein_coding
ENSG00000133863.9,2,TEX15,protein_coding
ENSG00000135205.15,2,CCDC146,protein_coding
ENSG00000145321.13,2,GC,protein_coding
ENSG00000152377.14,2,SPOCK1,protein_coding
ENSG00000153902.14,2,LGI4,protein_coding
ENSG00000166183.16,2,ASPG,protein_coding
ENSG00000167588.13,2,GPD1,protein_coding
ENSG00000170323.9,2,FABP4,protein_coding
ENSG00000184908.18,2,CLCNKB,protein_coding
ENSG00000187783.12,2,TMEM72,protein_coding
ENSG00000198075.10,2,SULT1C4,protein_coding
ENSG00000275385.2,2,CCL18,protein_coding
ENSG00000007062.12,1,PROM1,protein_coding
ENSG00000015413.9,1,DPEP1,protein_coding
ENSG00000047457.14,1,CP,protein_coding
ENSG00000060566.14,1,CREB3L3,protein_coding
ENSG00000074276.10,1,CDHR2,protein_coding
ENSG00000081800.9,1,SLC13A1,protein_coding
ENSG00000091513.16,1,TF,protein_coding
ENSG00000101198.15,1,NKAIN4,protein_coding
ENSG00000106236.4,1,NPTX2,protein_coding
ENSG00000112499.13,1,SLC22A2,protein_coding
ENSG00000114455.13,1,HHLA2,protein_coding
ENSG00000120645.12,1,IQSEC3,protein_coding
ENSG00000129151.9,1,BBOX1,protein_coding
ENSG00000129988.6,1,LBP,protein_coding
ENSG00000130822.16,1,PNCK,protein_coding
ENSG00000133063.16,1,CHIT1,protein_coding
ENSG00000134184.13,1,GSTM1,protein_coding
ENSG00000134240.12,1,HMGCS2,protein_coding
ENSG00000135220.11,1,UGT2A3,protein_coding
ENSG00000135333.14,1,EPHA7,protein_coding
ENSG00000137968.16,1,SLC44A5,protein_coding
ENSG00000142319.18,1,SLC6A3,protein_coding
ENSG00000142549.9,1,IGLON5,protein_coding
ENSG00000146039.11,1,SLC17A4,protein_coding
ENSG00000147614.4,1,ATP6V0D2,protein_coding
ENSG00000148488.17,1,ST8SIA6,protein_coding
ENSG00000148600.15,1,CDHR1,protein_coding
ENSG00000151892.15,1,GFRA1,protein_coding
ENSG00000152779.14,1,SLC16A12,protein_coding
ENSG00000154269.15,1,ENPP3,protein_coding
ENSG00000163295.5,1,ALPI,protein_coding
ENSG00000165376.11,1,CLDN2,protein_coding
ENSG00000168333.14,1,PPDPFL,protein_coding
ENSG00000171759.10,1,PAH,protein_coding
ENSG00000172927.8,1,MYEOV,protein_coding
ENSG00000173432.12,1,SAA1,protein_coding
ENSG00000178772.7,1,CPN2,protein_coding
ENSG00000183091.19,1,NEB,protein_coding
ENSG00000184368.16,1,MAP7D2,protein_coding
ENSG00000188373.5,1,C10orf99,protein_coding
ENSG00000188783.6,1,PRELP,protein_coding
ENSG00000197249.14,1,SERPINA1,protein_coding
ENSG00000197444.10,1,OGDHL,protein_coding
ENSG00000198734.12,1,F5,protein_coding
ENSG00000198910.14,1,L1CAM,protein_coding
ENSG00000241119.2,1,UGT1A9,protein_coding
