Fold,gene_id
1,ENSG00000164434.12
1,ENSG00000174358.16
1,ENSG00000012223.13
1,ENSG00000087494.16
1,ENSG00000174564.13
1,ENSG00000131094.4
1,ENSG00000135220.11
1,ENSG00000178776.5
1,ENSG00000077274.9
1,ENSG00000087250.9
1,ENSG00000257335.8
1,ENSG00000173376.14
1,ENSG00000125144.14
1,ENSG00000125255.7
1,ENSG00000275385.2
1,ENSG00000149294.17
1,ENSG00000163735.7
1,ENSG00000119125.17
1,ENSG00000147003.7
1,ENSG00000163581.14
1,ENSG00000133477.17
1,ENSG00000108821.14
1,ENSG00000147614.4
1,ENSG00000006747.15
1,ENSG00000178772.7
2,ENSG00000174358.16
2,ENSG00000142319.18
2,ENSG00000129988.6
2,ENSG00000124564.17
2,ENSG00000047457.14
2,ENSG00000102854.16
2,ENSG00000112499.13
2,ENSG00000012223.13
2,ENSG00000019505.8
2,ENSG00000178776.5
2,ENSG00000153902.14
2,ENSG00000173376.14
2,ENSG00000185686.18
2,ENSG00000087250.9
2,ENSG00000077274.9
2,ENSG00000135205.15
2,ENSG00000198734.12
2,ENSG00000125255.7
2,ENSG00000129151.9
2,ENSG00000166183.16
2,ENSG00000257335.8
2,ENSG00000050628.20
2,ENSG00000145321.13
2,ENSG00000154269.15
2,ENSG00000118514.14
2,ENSG00000133063.16
2,ENSG00000114455.13
2,ENSG00000125144.14
2,ENSG00000115009.13
2,ENSG00000113249.13
2,ENSG00000117472.10
2,ENSG00000163581.14
2,ENSG00000163735.7
2,ENSG00000147003.7
2,ENSG00000101198.15
2,ENSG00000131482.10
2,ENSG00000101210.13
2,ENSG00000167588.13
2,ENSG00000004939.15
2,ENSG00000006747.15
2,ENSG00000170323.9
2,ENSG00000131400.8
2,ENSG00000142549.9
2,ENSG00000198075.10
2,ENSG00000133863.9
2,ENSG00000183091.19
2,ENSG00000187783.12
2,ENSG00000151892.15
2,ENSG00000112246.10
2,ENSG00000120645.12
2,ENSG00000015413.9
2,ENSG00000184908.18
2,ENSG00000108821.14
3,ENSG00000164434.12
3,ENSG00000174358.16
3,ENSG00000173432.12
3,ENSG00000146039.11
3,ENSG00000174564.13
3,ENSG00000173376.14
3,ENSG00000152779.14
3,ENSG00000185686.18
3,ENSG00000152377.14
3,ENSG00000125255.7
3,ENSG00000178776.5
3,ENSG00000147003.7
3,ENSG00000149294.17
3,ENSG00000119630.14
3,ENSG00000131482.10
3,ENSG00000133477.17
3,ENSG00000163735.7
3,ENSG00000006747.15
3,ENSG00000131400.8
3,ENSG00000197444.10
4,ENSG00000164434.12
4,ENSG00000174358.16
4,ENSG00000012223.13
4,ENSG00000174564.13
4,ENSG00000131094.4
4,ENSG00000091513.16
4,ENSG00000173376.14
4,ENSG00000135205.15
4,ENSG00000152377.14
4,ENSG00000077274.9
4,ENSG00000185686.18
4,ENSG00000168333.14
4,ENSG00000125255.7
4,ENSG00000087250.9
4,ENSG00000074276.10
4,ENSG00000163735.7
4,ENSG00000133477.17
4,ENSG00000163581.14
4,ENSG00000131482.10
4,ENSG00000147003.7
4,ENSG00000060566.14
4,ENSG00000112246.10
4,ENSG00000006747.15
4,ENSG00000133863.9
4,ENSG00000131400.8
5,ENSG00000164434.12
5,ENSG00000174358.16
5,ENSG00000007062.12
5,ENSG00000124564.17
5,ENSG00000130822.16
5,ENSG00000106236.4
5,ENSG00000134240.12
5,ENSG00000081800.9
5,ENSG00000171759.10
5,ENSG00000102854.16
5,ENSG00000087494.16
5,ENSG00000172927.8
5,ENSG00000165376.11
5,ENSG00000241119.2
5,ENSG00000019505.8
5,ENSG00000153902.14
5,ENSG00000188373.5
5,ENSG00000257335.8
5,ENSG00000173376.14
5,ENSG00000125255.7
5,ENSG00000148600.15
5,ENSG00000185686.18
5,ENSG00000184368.16
5,ENSG00000077274.9
5,ENSG00000050628.20
5,ENSG00000166183.16
5,ENSG00000118514.14
5,ENSG00000087250.9
5,ENSG00000163295.5
5,ENSG00000134184.13
5,ENSG00000125144.14
5,ENSG00000148488.17
5,ENSG00000113249.13
5,ENSG00000147003.7
5,ENSG00000275385.2
5,ENSG00000115009.13
5,ENSG00000149294.17
5,ENSG00000145321.13
5,ENSG00000163581.14
5,ENSG00000119125.17
5,ENSG00000117472.10
5,ENSG00000004939.15
5,ENSG00000119630.14
5,ENSG00000101210.13
5,ENSG00000163735.7
5,ENSG00000167588.13
5,ENSG00000184908.18
5,ENSG00000198075.10
5,ENSG00000198910.14
5,ENSG00000137968.16
5,ENSG00000112246.10
5,ENSG00000131482.10
5,ENSG00000188783.6
5,ENSG00000187783.12
5,ENSG00000135333.14
5,ENSG00000197249.14
5,ENSG00000170323.9
