Repeat,Fold,Train N,Test N,Test Events,C-index
1,1,423,106,32,0.8163265306122449
1,2,423,106,32,0.7487468671679198
1,3,423,106,32,0.8531420765027322
1,4,423,106,32,0.8361542078044194
1,5,424,105,31,0.8205753291077523
2,1,423,106,32,0.8433211344922232
2,2,423,106,32,0.7942008486562943
2,3,423,106,32,0.817791147400086
2,4,423,106,32,0.748567650947554
2,5,424,105,31,0.8147268408551069
3,1,423,106,32,0.8569941715237303
3,2,423,106,32,0.8406954887218046
3,3,423,106,32,0.8176579068695251
3,4,423,106,32,0.8189972401103955
3,5,424,105,31,0.7178719484108705
4,1,423,106,32,0.8184593705965242
4,2,423,106,32,0.8297682709447415
4,3,423,106,32,0.7981393336218088
4,4,423,106,32,0.7585353785254825
4,5,424,105,31,0.8600525624178712
5,1,423,106,32,0.8654276757725033
5,2,423,106,32,0.8544018058690744
5,3,423,106,32,0.8399004562422231
5,4,423,106,32,0.7803442028985508
5,5,424,105,31,0.7246819338422392
6,1,423,106,32,0.8302540415704388
6,2,423,106,32,0.7798786181139122
6,3,423,106,32,0.7977346278317152
6,4,423,106,32,0.8179933665008292
6,5,424,105,31,0.831766917293233
7,1,423,106,32,0.8428246013667426
7,2,423,106,32,0.7897286821705426
7,3,423,106,32,0.8096126924871675
7,4,423,106,32,0.8554636482368306
7,5,424,105,31,0.7851185250219491
8,1,423,106,32,0.8677390527256479
8,2,423,106,32,0.8305766651765758
8,3,423,106,32,0.775088809946714
8,4,423,106,32,0.8081164534627261
8,5,424,105,31,0.7821463897131553
9,1,423,106,32,0.8470046082949308
9,2,423,106,32,0.7748283752860412
9,3,423,106,32,0.7712039718659496
9,4,423,106,32,0.8357466063348417
9,5,424,105,31,0.8513243378310844
10,1,423,106,32,0.7469795539033457
10,2,423,106,32,0.8274840474020054
10,3,423,106,32,0.80970625798212
10,4,423,106,32,0.8593539703903096
10,5,424,105,31,0.7971400872515754
