Repeat,Fold,gene_id
1,1,ENSG00000164434.12
1,1,ENSG00000174358.16
1,1,ENSG00000012223.13
1,1,ENSG00000174564.13
1,1,ENSG00000131094.4
1,1,ENSG00000179242.16
1,1,ENSG00000173376.14
1,1,ENSG00000077274.9
1,1,ENSG00000112299.8
1,1,ENSG00000178776.5
1,1,ENSG00000050628.20
1,1,ENSG00000152377.14
1,1,ENSG00000152779.14
1,1,ENSG00000074276.10
1,1,ENSG00000125144.14
1,1,ENSG00000117472.10
1,1,ENSG00000149294.17
1,1,ENSG00000144908.14
1,1,ENSG00000147003.7
1,1,ENSG00000119630.14
1,1,ENSG00000198075.10
1,1,ENSG00000163581.14
1,1,ENSG00000198910.14
1,1,ENSG00000163735.7
1,1,ENSG00000006747.15
1,1,ENSG00000167588.13
1,1,ENSG00000131482.10
1,1,ENSG00000147614.4
1,2,ENSG00000164434.12
1,2,ENSG00000162896.6
1,2,ENSG00000174358.16
1,2,ENSG00000081800.9
1,2,ENSG00000173376.14
1,2,ENSG00000179242.16
1,2,ENSG00000185686.18
1,2,ENSG00000125255.7
1,2,ENSG00000163735.7
1,2,ENSG00000275385.2
1,2,ENSG00000117472.10
1,2,ENSG00000147003.7
1,2,ENSG00000133477.17
1,2,ENSG00000198910.14
1,2,ENSG00000131482.10
1,2,ENSG00000198074.10
1,2,ENSG00000006747.15
1,3,ENSG00000174358.16
1,3,ENSG00000012223.13
1,3,ENSG00000174564.13
1,3,ENSG00000087494.16
1,3,ENSG00000131094.4
1,3,ENSG00000152377.14
1,3,ENSG00000185686.18
1,3,ENSG00000152779.14
1,3,ENSG00000077274.9
1,3,ENSG00000050628.20
1,3,ENSG00000147003.7
1,3,ENSG00000119630.14
1,3,ENSG00000133477.17
1,3,ENSG00000163735.7
1,3,ENSG00000131482.10
1,3,ENSG00000006747.15
1,3,ENSG00000108821.14
1,3,ENSG00000120645.12
1,3,ENSG00000131400.8
1,4,ENSG00000174358.16
1,4,ENSG00000100170.10
1,4,ENSG00000174564.13
1,4,ENSG00000178776.5
1,4,ENSG00000185686.18
1,4,ENSG00000125255.7
1,4,ENSG00000147003.7
1,4,ENSG00000163735.7
1,4,ENSG00000133477.17
1,4,ENSG00000198074.10
1,4,ENSG00000131400.8
1,5,ENSG00000164434.12
1,5,ENSG00000174358.16
1,5,ENSG00000106236.4
1,5,ENSG00000012223.13
1,5,ENSG00000174564.13
1,5,ENSG00000178776.5
1,5,ENSG00000125255.7
1,5,ENSG00000152779.14
1,5,ENSG00000125144.14
1,5,ENSG00000149294.17
1,5,ENSG00000275385.2
1,5,ENSG00000074276.10
1,5,ENSG00000170927.15
1,5,ENSG00000131482.10
1,5,ENSG00000006747.15
1,5,ENSG00000112246.10
2,1,ENSG00000162896.6
2,1,ENSG00000174358.16
2,1,ENSG00000173432.12
2,1,ENSG00000087494.16
2,1,ENSG00000173376.14
2,1,ENSG00000091513.16
2,1,ENSG00000131094.4
2,1,ENSG00000178776.5
2,1,ENSG00000077274.9
2,1,ENSG00000185686.18
2,1,ENSG00000050628.20
2,1,ENSG00000152377.14
2,1,ENSG00000152779.14
2,1,ENSG00000125144.14
2,1,ENSG00000125255.7
2,1,ENSG00000134184.13
2,1,ENSG00000275385.2
2,1,ENSG00000149294.17
2,1,ENSG00000118514.14
2,1,ENSG00000074276.10
2,1,ENSG00000117472.10
2,1,ENSG00000163735.7
2,1,ENSG00000147003.7
2,1,ENSG00000119125.17
2,1,ENSG00000119630.14
2,1,ENSG00000167588.13
2,1,ENSG00000147614.4
2,1,ENSG00000133863.9
2,1,ENSG00000006747.15
2,1,ENSG00000123610.5
2,1,ENSG00000112246.10
2,1,ENSG00000131730.16
2,1,ENSG00000131400.8
2,2,ENSG00000164434.12
2,2,ENSG00000174358.16
2,2,ENSG00000174564.13
2,2,ENSG00000131094.4
2,2,ENSG00000185686.18
2,2,ENSG00000152779.14
2,2,ENSG00000178776.5
2,2,ENSG00000077274.9
2,2,ENSG00000125255.7
2,2,ENSG00000275385.2
2,2,ENSG00000149294.17
2,2,ENSG00000117472.10
2,2,ENSG00000133477.17
2,2,ENSG00000131482.10
2,2,ENSG00000170927.15
2,2,ENSG00000147003.7
2,2,ENSG00000119125.17
2,2,ENSG00000006747.15
2,2,ENSG00000131400.8
2,3,ENSG00000174358.16
2,3,ENSG00000257017.9
2,3,ENSG00000012223.13
2,3,ENSG00000153902.14
2,3,ENSG00000131094.4
2,3,ENSG00000173376.14
2,3,ENSG00000179242.16
2,3,ENSG00000133063.16
2,3,ENSG00000077274.9
2,3,ENSG00000185686.18
2,3,ENSG00000132465.12
2,3,ENSG00000050628.20
2,3,ENSG00000125255.7
2,3,ENSG00000087250.9
2,3,ENSG00000118514.14
2,3,ENSG00000275385.2
2,3,ENSG00000147003.7
2,3,ENSG00000163581.14
2,3,ENSG00000163735.7
2,3,ENSG00000119630.14
2,3,ENSG00000133477.17
2,3,ENSG00000131482.10
2,3,ENSG00000198075.10
2,3,ENSG00000198910.14
2,3,ENSG00000147614.4
2,3,ENSG00000006747.15
2,3,ENSG00000133863.9
2,3,ENSG00000120645.12
2,4,ENSG00000164434.12
2,4,ENSG00000174358.16
2,4,ENSG00000124564.17
2,4,ENSG00000102854.16
2,4,ENSG00000125740.14
2,4,ENSG00000012223.13
2,4,ENSG00000087494.16
2,4,ENSG00000174564.13
2,4,ENSG00000019505.8
2,4,ENSG00000135220.11
2,4,ENSG00000179242.16
2,4,ENSG00000178776.5
2,4,ENSG00000152377.14
2,4,ENSG00000077274.9
2,4,ENSG00000125255.7
2,4,ENSG00000135205.15
2,4,ENSG00000145321.13
2,4,ENSG00000087250.9
2,4,ENSG00000173376.14
2,4,ENSG00000125144.14
