Repeat,Fold,Train N,Test N,Test Events,Clinical predictors,RNA predictors,Total predictors,Genes after prevalence filter,Nonzero clinical,Nonzero RNA genes,Best l1_ratio,Best alpha,Inner CV C-index,Outer C-index
1,1,423,106,32,9,250,259,16190,2,28,1.0,0.0341627802828137,0.7862236736819139,0.8349600709849158
1,2,423,106,32,8,250,258,16185,1,17,1.0,0.047314308163640934,0.8045345798831676,0.7368421052631579
1,3,423,106,32,9,250,259,16190,1,19,1.0,0.05235939833485473,0.7952180541165156,0.8164845173041895
1,4,423,106,32,9,250,259,16191,1,11,1.0,0.05401407986117604,0.7831819482681744,0.8100611189468735
1,5,424,105,31,9,250,259,16178,1,16,1.0,0.05111368472552181,0.797001841104206,0.7454900048756704
2,1,423,106,32,9,250,259,16196,2,33,1.0,0.034211992562933106,0.796943854419561,0.7996340347666971
2,2,423,106,32,9,250,259,16207,1,19,1.0,0.04974982935506669,0.7976297986484499,0.8401697312588402
2,3,423,106,32,8,250,258,16175,3,28,1.0,0.03113007931020605,0.7727355121424077,0.8715083798882681
2,4,423,106,32,9,250,259,16179,2,32,1.0,0.035738237286924976,0.820131007603831,0.7633318642573821
2,5,424,105,31,9,250,259,16186,2,27,1.0,0.034131589381747554,0.7871936137764992,0.7966745843230404
3,1,423,106,32,9,250,259,16201,3,36,0.5,0.062392826732772314,0.7849125025030839,0.8147377185678601
3,2,423,106,32,9,250,259,16183,1,32,1.0,0.035054352464333076,0.7865232900400742,0.8200187969924813
3,3,423,106,32,8,250,258,16187,2,24,1.0,0.034583184110214826,0.8164283854505024,0.7925311203319502
3,4,423,106,32,9,250,259,16170,2,29,1.0,0.034335973804271475,0.7892076561845681,0.8072677092916284
3,5,424,105,31,9,250,259,16187,2,27,1.0,0.0352774592080414,0.8216865945331379,0.7088899124827268
4,1,423,106,32,9,250,259,16182,2,31,1.0,0.03418719042423153,0.8176091660476587,0.7332080789102865
4,2,423,106,32,9,250,259,16193,3,29,1.0,0.03135011033563259,0.79369279348608,0.8360071301247772
4,3,423,106,32,9,250,259,16189,1,25,1.0,0.032972285623738475,0.7995591819884735,0.7810471657291216
4,4,423,106,32,8,250,258,16177,4,67,1.0,0.014916240264734662,0.7882197797578034,0.7911924789708066
4,5,424,105,31,9,250,259,16180,2,24,0.9,0.03978981657484609,0.7767497690253772,0.8418747262374069
5,1,423,106,32,9,250,259,16194,2,26,1.0,0.034161572320968565,0.7919995452322057,0.8007165248544559
5,2,423,106,32,9,250,259,16188,1,31,1.0,0.03435960068706986,0.7820309766477059,0.8293453724604967
5,3,423,106,32,9,250,259,16181,1,30,1.0,0.033901948884568225,0.7789123070994192,0.8228950642886769
5,4,423,106,32,9,250,259,16177,1,27,1.0,0.03557984813055488,0.7834212853788288,0.7463768115942029
5,5,424,105,31,8,250,258,16196,2,29,1.0,0.03326333493797818,0.808356277747715,0.7872773536895674
6,1,423,106,32,9,250,259,16195,1,26,1.0,0.0332464355048879,0.8025493924261718,0.7833718244803695
6,2,423,106,32,9,250,259,16178,2,27,1.0,0.03561426693296477,0.8148111857493654,0.795985060690943
6,3,423,106,32,9,250,259,16202,3,35,1.0,0.033555078960574344,0.7934832754393168,0.8132223763291725
6,4,423,106,32,9,250,259,16180,1,29,1.0,0.03084528567779982,0.7787964849162559,0.814262023217247
6,5,424,105,31,8,250,258,16178,1,24,1.0,0.03446270008075745,0.7852142415890992,0.8524436090225563
7,1,423,106,32,9,250,259,16196,2,29,1.0,0.03250374983923775,0.7999521332116295,0.828246013667426
7,2,423,106,32,9,250,259,16194,1,16,1.0,0.05519801994498665,0.7993414086752502,0.7592054263565892
7,3,423,106,32,9,250,259,16183,4,66,1.0,0.0156719581581219,0.7847287277834911,0.7755482967802146
7,4,423,106,32,9,250,259,16165,3,33,1.0,0.03349637754335846,0.7718604994969428,0.8384849804092295
7,5,424,105,31,8,250,258,16195,2,31,1.0,0.03184374214754748,0.7964477599879248,0.7875329236172081
8,1,423,106,32,9,250,259,16187,1,29,1.0,0.03344926486904149,0.7933206408911149,0.8114387846291331
8,2,423,106,32,9,250,259,16190,1,20,1.0,0.049644391983096316,0.7933319452296015,0.8417523468931605
8,3,423,106,32,9,250,259,16194,1,13,1.0,0.053765020866005944,0.8123775490399461,0.7357904085257548
8,4,423,106,32,9,250,259,16178,4,46,1.0,0.02103955160424407,0.8031048551929071,0.8270842523158359
8,5,424,105,31,8,250,258,16186,1,16,1.0,0.055184273611616375,0.7985665365742906,0.7769535113748763
9,1,423,106,32,9,250,259,16170,1,13,1.0,0.05066972658570854,0.7969963152392352,0.8092165898617512
9,2,423,106,32,9,250,259,16171,2,30,1.0,0.0342584108851357,0.8013905201066618,0.7606407322654463
9,3,423,106,32,8,250,258,16194,4,42,1.0,0.021285770418505986,0.7979579101132979,0.8125775755068266
9,4,423,106,32,9,250,259,16209,1,17,1.0,0.05448248864407581,0.81056194142656,0.7696832579185521
9,5,424,105,31,9,250,259,16194,1,30,1.0,0.033007669928350476,0.7880810705128388,0.8385807096451774
10,1,423,106,32,9,250,259,16187,1,23,1.0,0.05002352046578319,0.8041393478039113,0.8062267657992565
10,2,423,106,32,9,250,259,16211,1,19,1.0,0.048482629144011774,0.7995882542897187,0.8231540565177757
10,3,423,106,32,9,250,259,16172,1,16,1.0,0.05451271850864568,0.8165451129606494,0.7343550446998723
10,4,423,106,32,8,250,258,16186,1,27,1.0,0.03467163190170432,0.7839015453060769,0.8398384925975774
10,5,424,105,31,9,250,259,16192,2,26,1.0,0.03578536641491391,0.7812259026195044,0.7813863305865245
