Repeat A,Fold A,Repeat B,Fold B,Genes A,Genes B,Shared Genes,Jaccard
1,1,1,2,28,17,10,0.2857142857142857
1,1,1,3,28,19,13,0.38235294117647056
1,1,1,4,28,11,5,0.14705882352941177
1,1,1,5,28,16,11,0.3333333333333333
1,1,2,1,28,33,18,0.4186046511627907
1,1,2,2,28,19,12,0.34285714285714286
1,1,2,3,28,28,16,0.4
1,1,2,4,28,32,16,0.36363636363636365
1,1,2,5,28,27,16,0.41025641025641024
1,1,3,1,28,36,20,0.45454545454545453
1,1,3,2,28,32,16,0.36363636363636365
1,1,3,3,28,24,15,0.40540540540540543
1,1,3,4,28,29,13,0.29545454545454547
1,1,3,5,28,27,15,0.375
1,1,4,1,28,31,18,0.43902439024390244
1,1,4,2,28,29,15,0.35714285714285715
1,1,4,3,28,25,12,0.2926829268292683
1,1,4,4,28,67,16,0.20253164556962025
1,1,4,5,28,24,14,0.3684210526315789
1,1,5,1,28,26,17,0.4594594594594595
1,1,5,2,28,31,13,0.2826086956521739
1,1,5,3,28,30,17,0.4146341463414634
1,1,5,4,28,27,15,0.375
1,1,5,5,28,29,13,0.29545454545454547
1,1,6,1,28,26,13,0.3170731707317073
1,1,6,2,28,27,10,0.2222222222222222
1,1,6,3,28,35,17,0.3695652173913043
1,1,6,4,28,29,16,0.3902439024390244
1,1,6,5,28,24,14,0.3684210526315789
1,1,7,1,28,29,14,0.32558139534883723
1,1,7,2,28,16,12,0.375
1,1,7,3,28,66,15,0.189873417721519
1,1,7,4,28,33,20,0.4878048780487805
1,1,7,5,28,31,18,0.43902439024390244
1,1,8,1,28,29,15,0.35714285714285715
1,1,8,2,28,20,14,0.4117647058823529
1,1,8,3,28,13,8,0.24242424242424243
1,1,8,4,28,46,17,0.2982456140350877
1,1,8,5,28,16,10,0.29411764705882354
1,1,9,1,28,13,9,0.28125
1,1,9,2,28,30,17,0.4146341463414634
1,1,9,3,28,42,12,0.20689655172413793
1,1,9,4,28,17,13,0.40625
1,1,9,5,28,30,16,0.38095238095238093
1,1,10,1,28,23,14,0.3783783783783784
1,1,10,2,28,19,12,0.34285714285714286
1,1,10,3,28,16,12,0.375
1,1,10,4,28,27,16,0.41025641025641024
1,1,10,5,28,26,17,0.4594594594594595
1,2,1,3,17,19,7,0.2413793103448276
1,2,1,4,17,11,7,0.3333333333333333
1,2,1,5,17,16,6,0.2222222222222222
1,2,2,1,17,33,10,0.25
1,2,2,2,17,19,10,0.38461538461538464
1,2,2,3,17,28,12,0.36363636363636365
1,2,2,4,17,32,10,0.2564102564102564
1,2,2,5,17,27,9,0.2571428571428571
1,2,3,1,17,36,12,0.2926829268292683
1,2,3,2,17,32,11,0.2894736842105263
1,2,3,3,17,24,8,0.24242424242424243
1,2,3,4,17,29,11,0.3142857142857143
1,2,3,5,17,27,10,0.29411764705882354
1,2,4,1,17,31,12,0.3333333333333333
1,2,4,2,17,29,11,0.3142857142857143
1,2,4,3,17,25,9,0.2727272727272727
1,2,4,4,17,67,9,0.12
1,2,4,5,17,24,8,0.24242424242424243
1,2,5,1,17,26,10,0.30303030303030304
1,2,5,2,17,31,10,0.2631578947368421
1,2,5,3,17,30,11,0.3055555555555556
1,2,5,4,17,27,11,0.3333333333333333
1,2,5,5,17,29,11,0.3142857142857143
1,2,6,1,17,26,11,0.34375
1,2,6,2,17,27,11,0.3333333333333333
1,2,6,3,17,35,11,0.2682926829268293
1,2,6,4,17,29,8,0.21052631578947367
1,2,6,5,17,24,12,0.41379310344827586
1,2,7,1,17,29,11,0.3142857142857143
1,2,7,2,17,16,7,0.2692307692307692
1,2,7,3,17,66,11,0.1527777777777778
1,2,7,4,17,33,11,0.28205128205128205
1,2,7,5,17,31,7,0.17073170731707318
1,2,8,1,17,29,12,0.35294117647058826
1,2,8,2,17,20,11,0.4230769230769231
1,2,8,3,17,13,6,0.25
1,2,8,4,17,46,11,0.21153846153846154
1,2,8,5,17,16,7,0.2692307692307692
1,2,9,1,17,13,7,0.30434782608695654
1,2,9,2,17,30,9,0.23684210526315788
1,2,9,3,17,42,10,0.20408163265306123
1,2,9,4,17,17,9,0.36
1,2,9,5,17,30,12,0.34285714285714286
1,2,10,1,17,23,11,0.3793103448275862
1,2,10,2,17,19,8,0.2857142857142857
1,2,10,3,17,16,10,0.43478260869565216
1,2,10,4,17,27,11,0.3333333333333333
1,2,10,5,17,26,9,0.2647058823529412
1,3,1,4,19,11,7,0.30434782608695654
1,3,1,5,19,16,6,0.20689655172413793
1,3,2,1,19,33,13,0.3333333333333333
1,3,2,2,19,19,11,0.4074074074074074
1,3,2,3,19,28,13,0.38235294117647056
1,3,2,4,19,32,13,0.34210526315789475
1,3,2,5,19,27,10,0.2777777777777778
1,3,3,1,19,36,13,0.30952380952380953
1,3,3,2,19,32,11,0.275
1,3,3,3,19,24,10,0.30303030303030304
1,3,3,4,19,29,14,0.4117647058823529
1,3,3,5,19,27,14,0.4375
1,3,4,1,19,31,11,0.28205128205128205
1,3,4,2,19,29,10,0.2631578947368421
1,3,4,3,19,25,10,0.29411764705882354
1,3,4,4,19,67,12,0.16216216216216217
1,3,4,5,19,24,12,0.3870967741935484
1,3,5,1,19,26,13,0.40625
1,3,5,2,19,31,10,0.25
1,3,5,3,19,30,12,0.32432432432432434
1,3,5,4,19,27,10,0.2777777777777778
1,3,5,5,19,29,9,0.23076923076923078
1,3,6,1,19,26,11,0.3235294117647059
1,3,6,2,19,27,9,0.24324324324324326
1,3,6,3,19,35,13,0.3170731707317073
1,3,6,4,19,29,10,0.2631578947368421
1,3,6,5,19,24,10,0.30303030303030304
1,3,7,1,19,29,10,0.2631578947368421
1,3,7,2,19,16,11,0.4583333333333333
1,3,7,3,19,66,10,0.13333333333333333
1,3,7,4,19,33,12,0.3
1,3,7,5,19,31,13,0.35135135135135137
1,3,8,1,19,29,9,0.23076923076923078
1,3,8,2,19,20,10,0.3448275862068966
1,3,8,3,19,13,9,0.391304347826087
1,3,8,4,19,46,13,0.25
1,3,8,5,19,16,10,0.4
1,3,9,1,19,13,10,0.45454545454545453
1,3,9,2,19,30,12,0.32432432432432434
1,3,9,3,19,42,9,0.17307692307692307
1,3,9,4,19,17,8,0.2857142857142857
1,3,9,5,19,30,10,0.2564102564102564
1,3,10,1,19,23,10,0.3125
1,3,10,2,19,19,9,0.3103448275862069
1,3,10,3,19,16,8,0.2962962962962963
1,3,10,4,19,27,14,0.4375
1,3,10,5,19,26,15,0.5
1,4,1,5,11,16,4,0.17391304347826086
