gene_id,gene_name,gene_type,Selection_Count,Selection_Frequency,Repeats_Selected,Folds_Selected
ENSG00000125255.7,SLC10A2,protein_coding,46,0.92,10,5
ENSG00000163735.7,CXCL5,protein_coding,45,0.9,10,5
ENSG00000147003.7,CLTRN,protein_coding,44,0.88,10,5
ENSG00000174358.16,SLC6A19,protein_coding,44,0.88,10,5
ENSG00000006747.15,SCIN,protein_coding,42,0.84,10,5
ENSG00000173376.14,NDNF,protein_coding,40,0.8,10,5
ENSG00000131482.10,G6PC,protein_coding,38,0.76,10,5
ENSG00000164434.12,FABP7,protein_coding,36,0.72,10,5
ENSG00000185686.18,PRAME,protein_coding,36,0.72,10,5
ENSG00000077274.9,CAPN6,protein_coding,35,0.7,10,5
ENSG00000275385.2,CCL18,protein_coding,35,0.7,10,5
ENSG00000012223.13,LTF,protein_coding,34,0.68,10,5
ENSG00000178776.5,C5orf46,protein_coding,33,0.66,10,5
ENSG00000125144.14,MT1G,protein_coding,31,0.62,10,5
ENSG00000167588.13,GPD1,protein_coding,29,0.58,10,5
ENSG00000050628.20,PTGER3,protein_coding,28,0.56,10,5
ENSG00000119630.14,PGF,protein_coding,28,0.56,10,5
ENSG00000131400.8,NAPSA,protein_coding,27,0.54,10,5
ENSG00000087250.9,MT3,protein_coding,27,0.54,9,5
ENSG00000117472.10,TSPAN1,protein_coding,26,0.52,10,5
ENSG00000149294.17,NCAM1,protein_coding,26,0.52,10,5
ENSG00000133477.17,FAM83F,protein_coding,23,0.46,10,5
ENSG00000174564.13,IL20RB,protein_coding,23,0.46,10,5
ENSG00000152377.14,SPOCK1,protein_coding,22,0.44,10,5
ENSG00000131094.4,C1QL1,protein_coding,21,0.42,10,5
ENSG00000163581.14,SLC2A2,protein_coding,20,0.4,10,5
ENSG00000087494.16,PTHLH,protein_coding,20,0.4,9,5
ENSG00000119125.17,GDA,protein_coding,20,0.4,9,5
ENSG00000112246.10,SIM1,protein_coding,19,0.38,10,5
ENSG00000135205.15,CCDC146,protein_coding,19,0.38,9,5
ENSG00000198075.10,SULT1C4,protein_coding,17,0.34,10,5
ENSG00000153902.14,LGI4,protein_coding,17,0.34,9,5
ENSG00000147614.4,ATP6V0D2,protein_coding,16,0.32,10,5
ENSG00000152779.14,SLC16A12,protein_coding,15,0.3,7,5
ENSG00000179242.16,CDH4,protein_coding,14,0.28,10,5
ENSG00000019505.8,SYT13,protein_coding,14,0.28,8,4
ENSG00000124564.17,SLC17A3,protein_coding,13,0.26,9,4
ENSG00000120645.12,IQSEC3,protein_coding,12,0.24,10,5
ENSG00000118514.14,ALDH8A1,protein_coding,12,0.24,8,5
ENSG00000108821.14,COL1A1,protein_coding,11,0.22,9,4
ENSG00000170323.9,FABP4,protein_coding,11,0.22,7,4
ENSG00000133863.9,TEX15,protein_coding,11,0.22,6,5
ENSG00000133063.16,CHIT1,protein_coding,9,0.18,7,4
ENSG00000173432.12,SAA1,protein_coding,9,0.18,7,5
ENSG00000074276.10,CDHR2,protein_coding,8,0.16,6,5
ENSG00000198910.14,L1CAM,protein_coding,8,0.16,6,5
ENSG00000257335.8,MGAM,protein_coding,8,0.16,6,4
ENSG00000133020.4,MYH8,protein_coding,8,0.16,5,3
ENSG00000162896.6,PIGR,protein_coding,7,0.14,7,4
ENSG00000102854.16,MSLN,protein_coding,7,0.14,6,4
ENSG00000130427.3,EPO,protein_coding,7,0.14,6,4
ENSG00000004939.15,SLC4A1,protein_coding,7,0.14,5,5
ENSG00000004799.8,PDK4,protein_coding,6,0.12,6,2
ENSG00000081800.9,SLC13A1,protein_coding,6,0.12,5,4
ENSG00000115009.13,CCL20,protein_coding,6,0.12,5,3
ENSG00000163710.9,PCOLCE2,protein_coding,6,0.12,5,3
ENSG00000198734.12,F5,protein_coding,6,0.12,5,3
ENSG00000101210.13,EEF1A2,protein_coding,5,0.1,5,3
ENSG00000131730.16,CKMT2,protein_coding,5,0.1,5,4
ENSG00000132465.12,JCHAIN,protein_coding,5,0.1,5,3
ENSG00000145321.13,GC,protein_coding,5,0.1,5,2
ENSG00000091513.16,TF,protein_coding,5,0.1,4,4
ENSG00000198074.10,AKR1B10,protein_coding,5,0.1,3,3
