Repeat,Fold,Patients,Events
1,1,106,32
1,2,106,32
1,3,106,32
1,4,106,32
1,5,105,31
2,1,106,32
2,2,106,32
2,3,106,32
2,4,106,32
2,5,105,31
3,1,106,32
3,2,106,32
3,3,106,32
3,4,106,32
3,5,105,31
4,1,106,32
4,2,106,32
4,3,106,32
4,4,106,32
4,5,105,31
5,1,106,32
5,2,106,32
5,3,106,32
5,4,106,32
5,5,105,31
6,1,106,32
6,2,106,32
6,3,106,32
6,4,106,32
6,5,105,31
7,1,106,32
7,2,106,32
7,3,106,32
7,4,106,32
7,5,105,31
8,1,106,32
8,2,106,32
8,3,106,32
8,4,106,32
8,5,105,31
9,1,106,32
9,2,106,32
9,3,106,32
9,4,106,32
9,5,105,31
10,1,106,32
10,2,106,32
10,3,106,32
10,4,106,32
10,5,105,31
