gene_id,Selection_Frequency,gene_name,gene_type
ENSG00000147003.7,5,CLTRN,protein_coding
ENSG00000163735.7,5,CXCL5,protein_coding
ENSG00000173376.14,5,NDNF,protein_coding
ENSG00000125255.7,5,SLC10A2,protein_coding
ENSG00000174358.16,5,SLC6A19,protein_coding
ENSG00000077274.9,4,CAPN6,protein_coding
ENSG00000164434.12,4,FABP7,protein_coding
ENSG00000131482.10,4,G6PC,protein_coding
ENSG00000087250.9,4,MT3,protein_coding
ENSG00000185686.18,4,PRAME,protein_coding
ENSG00000006747.15,4,SCIN,protein_coding
ENSG00000163581.14,4,SLC2A2,protein_coding
ENSG00000178776.5,3,C5orf46,protein_coding
ENSG00000133477.17,3,FAM83F,protein_coding
ENSG00000174564.13,3,IL20RB,protein_coding
ENSG00000012223.13,3,LTF,protein_coding
ENSG00000257335.8,3,MGAM,protein_coding
ENSG00000125144.14,3,MT1G,protein_coding
ENSG00000131400.8,3,NAPSA,protein_coding
ENSG00000149294.17,3,NCAM1,protein_coding
ENSG00000112246.10,3,SIM1,protein_coding
