Top K,Repeat,Fold,Train N,Test N,Test Events,Clinical predictors,RNA predictors,Total predictors,Genes after prevalence filter,Nonzero clinical,Nonzero RNA genes,Best l1_ratio,Best alpha,Inner CV C-index,Outer C-index
100,1,1,423,106,32,9,100,109,16190,4,24,1.0,0.0224768281947396,0.804523187669974,0.8389529724933452
100,1,2,423,106,32,8,100,108,16185,5,38,1.0,0.013475284674027425,0.8278288319750571,0.7159565580618212
100,1,3,423,106,32,9,100,109,16190,2,13,0.9,0.0382766530973123,0.7837410465121929,0.825591985428051
100,1,4,423,106,32,9,100,109,16191,4,21,1.0,0.023381405753638704,0.7859962279327921,0.7795016455101081
100,1,5,424,105,31,9,100,109,16178,4,25,1.0,0.02212589393733253,0.7717356641791421,0.8010726474890297
100,2,1,423,106,32,9,100,109,16196,1,9,1.0,0.05199918666630537,0.8119620023060904,0.7840805123513266
100,2,2,423,106,32,9,100,109,16207,1,12,1.0,0.04974982935506669,0.7874442970277236,0.8274398868458275
100,2,3,423,106,32,8,100,108,16175,5,23,1.0,0.020481513464409705,0.7882701208143253,0.867640739149119
100,2,4,423,106,32,9,100,109,16179,3,19,0.9,0.03970915254102775,0.8208101274545588,0.7355663287791979
100,2,5,424,105,31,9,100,109,16186,2,19,1.0,0.034131589381747554,0.7916041475535215,0.7900237529691211
100,3,1,423,106,32,9,100,109,16201,2,17,0.9,0.03444573509618343,0.7520635299854009,0.8368026644462948
100,3,2,423,106,32,9,100,109,16183,2,15,1.0,0.035054352464333076,0.8164935961350706,0.8016917293233082
100,3,3,423,106,32,8,100,108,16187,4,25,1.0,0.022753425840560008,0.8066655253208467,0.7667127708621485
100,3,4,423,106,32,9,100,109,16170,2,17,1.0,0.034335973804271475,0.7914402067709365,0.8371665133394665
100,3,5,424,105,31,9,100,109,16187,4,23,1.0,0.02321021249447249,0.8317279812811861,0.7001381851681253
100,4,1,423,106,32,9,100,109,16182,3,40,1.0,0.014798818621742696,0.8177580411304036,0.737905119774542
100,4,2,423,106,32,9,100,109,16193,3,19,0.9,0.03483345592848065,0.7803829336621559,0.838680926916221
100,4,3,423,106,32,9,100,109,16189,1,11,0.9,0.055683269277566436,0.8141153076252047,0.7836434443963652
100,4,4,423,106,32,8,100,108,16177,4,24,0.9,0.025190398771510022,0.8155792913630538,0.8218703612073232
100,4,5,424,105,31,9,100,109,16180,1,11,1.0,0.05442928488069562,0.771698693661842,0.823915900131406
100,5,1,423,106,32,9,100,109,16194,1,13,0.9,0.05769172486859812,0.7987038127133373,0.7908643081056874
100,5,2,423,106,32,9,100,109,16188,4,25,1.0,0.021246585503011083,0.7972171495516219,0.8604966139954854
100,5,3,423,106,32,9,100,109,16181,5,37,1.0,0.014675344368477592,0.8043448310411653,0.8249688925756947
100,5,4,423,106,32,9,100,109,16177,2,15,1.0,0.03557984813055488,0.7868599321964481,0.7667572463768116
100,5,5,424,105,31,8,100,108,16196,2,13,1.0,0.05055731142820857,0.8070981712981918,0.7806615776081425
