File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Tissue Type,Tumor Descriptor,Specimen Type,Preservation Method,Aliquot ID,Aliquot Submitter ID,Entity Type,Workflow Type,Total Reads,Proportion Reads Mapped,Proportion Base Mismatch,Average Base Quality,Average Read Length
2b393323-81e3-49e2-9acd-18eb8ab0c563,d96fc441-a213-4f24-b2b1-a23d63883532.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-3923,TCGA-B2-3923-01A,Tumor,Primary,Unknown,Unknown,628f0d31-99d8-4519-859a-84ae5dd327a7,TCGA-B2-3923-01A-02R-1325-07,aliquot,STAR - Counts,126664294,0.9803421001975505,0.002624101,37,50
4134fa64-6365-4a43-b990-48342be44405,2a0d7ffd-21a2-4c9f-b420-9f78e9b8689b.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-3923,TCGA-B2-3923-01A,Tumor,Primary,Unknown,Unknown,4ad0254b-a6c5-4ff2-94ec-8711210c0820,TCGA-B2-3923-01A-02R-A277-07,aliquot,STAR - Counts,201312044,0.9138120568682915,0.002323923,37,48
d514c3bc-c1e1-4028-9822-90ad703a3a8d,d5340889-fb1c-411d-922c-a9f69e1ac405.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-3923,TCGA-B2-3923-01B,Tumor,Primary,Unknown,FFPE,f9a8731b-2c45-48b0-b5df-3fe8d4706c12,TCGA-B2-3923-01B-10R-A277-07,aliquot,STAR - Counts,199691452,0.8942067585346618,0.005191807,37,48
056c67e7-03b3-40cc-8c19-d6938ad634aa,343ac8e1-8afa-4e36-a373-ca28c3e7a713.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-3924,TCGA-B2-3924-01A,Tumor,Primary,Unknown,Unknown,09b4506e-729d-47fd-a08b-fef5f191b380,TCGA-B2-3924-01A-02R-1325-07,aliquot,STAR - Counts,140511116,0.9853717409802653,0.003116716,37,50
df630d23-f007-4cc4-9910-edb44046d556,a40c1d70-1750-45d0-a85b-688331b029ea.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-3924,TCGA-B2-3924-01A,Tumor,Primary,Unknown,Unknown,8a59f553-05f9-4f5e-bb4e-2b119e6af0e5,TCGA-B2-3924-01A-02R-A277-07,aliquot,STAR - Counts,186916242,0.5940874522825041,0.002794155,37,48
3324e6df-28f9-42d8-8465-0fcc2d618004,f08c47f7-7b61-46a2-a961-d5fced8ebde5.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-3924,TCGA-B2-3924-01B,Tumor,Primary,Unknown,FFPE,7ee68b4e-e81d-438d-97b2-d89fe7405a74,TCGA-B2-3924-01B-03R-A277-07,aliquot,STAR - Counts,214645858,0.9146850343601786,0.004341195,37,48
61894bd0-9fdb-4bb1-b32c-f52dbc10c850,1e28caa3-197f-4deb-95c1-f6d8a41756ca.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-5633,TCGA-B2-5633-01A,Tumor,Primary,Unknown,Unknown,82de3eb7-80be-40dd-b0b7-cfaf8de56340,TCGA-B2-5633-01A-01R-1541-07,aliquot,STAR - Counts,120396578,0.8949474544035628,0.00392658,36,50
bdb74506-8766-42e1-922e-e03da4637a70,dc6421de-439b-4764-87bf-c1922cfeba3c.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-5633,TCGA-B2-5633-01A,Tumor,Primary,Unknown,Unknown,59f2977c-e553-4968-a1f8-c902e1e45ef2,TCGA-B2-5633-01A-01R-A277-07,aliquot,STAR - Counts,182432674,0.975191143665416,0.002443329,37,48
307fc027-0530-452b-8fa9-d46f7fc73d0e,9cc9f5b7-bbbb-4d3b-8d98-9bf4425a214b.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-5633,TCGA-B2-5633-01B,Tumor,Primary,Unknown,FFPE,5f7fa5f2-7ba5-47ba-8748-68caf2d08950,TCGA-B2-5633-01B-04R-A277-07,aliquot,STAR - Counts,210176832,0.897726734219688,0.004022504,37,48
b98e59fc-120a-45c4-aade-3b59ca4a1a86,c276c214-acd9-44b3-b932-971c77c4fa91.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-KIRC,TCGA-B2-5635,TCGA-B2-5635-01A,Tumor,Primary,Unknown,Unknown,e74353da-287f-4f4f-abf4-28361407e470,TCGA-B2-5635-01A-01R-1541-07,aliquot,STAR - Counts,157889094,0.8862649436698902,0.00409476,36,50
