gene_name,gene_id,Selection_Count,Selection_Percent,Repeats_Selected
SLC10A2,ENSG00000125255.7,46,92.0,10
CXCL5,ENSG00000163735.7,45,90.0,10
CLTRN,ENSG00000147003.7,44,88.0,10
SLC6A19,ENSG00000174358.16,44,88.0,10
SCIN,ENSG00000006747.15,42,84.0,10
NDNF,ENSG00000173376.14,40,80.0,10
G6PC,ENSG00000131482.10,38,76.0,10
FABP7,ENSG00000164434.12,36,72.0,10
PRAME,ENSG00000185686.18,36,72.0,10
CAPN6,ENSG00000077274.9,35,70.0,10
CCL18,ENSG00000275385.2,35,70.0,10
LTF,ENSG00000012223.13,34,68.0,10
C5orf46,ENSG00000178776.5,33,66.0,10
MT1G,ENSG00000125144.14,31,62.0,10
GPD1,ENSG00000167588.13,29,57.99999999999999,10
PTGER3,ENSG00000050628.20,28,56.00000000000001,10
PGF,ENSG00000119630.14,28,56.00000000000001,10
NAPSA,ENSG00000131400.8,27,54.0,10
MT3,ENSG00000087250.9,27,54.0,9
TSPAN1,ENSG00000117472.10,26,52.0,10
